file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/BaseResultSetHandler.java,1051,NullifyInputVariable,"protected final void updateCharacterStream(final String columnLabel, final Reader reader) throws SQLException {","protected final void updateCharacterStream(final String columnLabel, final Reader reader) throws SQLException { reader = null;",123,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/KeyedHandler.java,139,NullifyInputVariable,protected K createKey(final ResultSet rs) throws SQLException {,protected K createKey(final ResultSet rs) throws SQLException { rs = null;,5,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BasicRowProcessor.java,255,NullifyInputVariable,"public Map<String, Object> toMap(final ResultSet resultSet) throws SQLException {","public Map<String, Object> toMap(final ResultSet resultSet) throws SQLException { resultSet = null;",15,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,333,NullifyInputVariable,"public <T> Future<T> insert(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException {","public <T> Future<T> insert(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException { rsh = null;",62,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,174,NullifyInputVariable,protected final BigDecimal getBigDecimal(final String columnLabel) throws SQLException {,protected final BigDecimal getBigDecimal(final String columnLabel) throws SQLException { columnLabel = null;,205,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BeanProcessor.java,192,NullifyInputVariable,"private boolean isCompatibleType(final Object value, final Class<?> type) {","private boolean isCompatibleType(final Object value, final Class<?> type) { type = null;",51,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,555,NullifyInputVariable,"public <T> T query(final Connection conn, final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException {","public <T> T query(final Connection conn, final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException { rsh = null;",77,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/columns/SQLXMLColumnHandler.java,28,NullifyInputVariable,"public SQLXML apply(final ResultSet resultSet, final int columnIndex) throws SQLException {","public SQLXML apply(final ResultSet resultSet, final int columnIndex) throws SQLException { resultSet = null;",3,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/AbstractKeyedHandler.java,78,NullifyInputVariable,"public Map<K, V> handle(final ResultSet resultSet) throws SQLException {","public Map<K, V> handle(final ResultSet resultSet) throws SQLException { resultSet = null;",3,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,399,NullifyInputVariable,"public <T> Future<T> insertBatch(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object[][] params) throws SQLException {","public <T> Future<T> insertBatch(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object[][] params) throws SQLException { rsh = null;",50,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/columns/TimestampColumnHandler.java,33,NullifyInputVariable,public boolean match(final Class<?> propType) {,public boolean match(final Class<?> propType) { propType = null;,2,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/DbUtils.java,63,NullifyInputVariable,public boolean acceptsURL(final String url) throws SQLException {,public boolean acceptsURL(final String url) throws SQLException { url = null;,43,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/DbUtils.java,409,NullifyInputVariable,public static void rollbackQuietly(final Connection conn) {,public static void rollbackQuietly(final Connection conn) { conn = null;,15,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,869,NullifyInputVariable,"protected final void updateAsciiStream(final String columnLabel, final InputStream x) throws SQLException {","protected final void updateAsciiStream(final String columnLabel, final InputStream x) throws SQLException { columnLabel = null;",157,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,827,NullifyInputVariable,protected final <E> E unwrap(final Class<E> iface) throws SQLException {,protected final <E> E unwrap(final Class<E> iface) throws SQLException { iface = null;,164,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,210,NullifyInputVariable,protected final Blob getBlob(final String columnLabel) throws SQLException {,protected final Blob getBlob(final String columnLabel) throws SQLException { columnLabel = null;,202,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,349,NullifyInputVariable,"public <T> List<T> execute(final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException {","public <T> List<T> execute(final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException { sql = null;",106,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,333,NullifyInputVariable,"public <T> Future<T> insert(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException {","public <T> Future<T> insert(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException { conn = null;",64,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,883,NullifyInputVariable,"protected final void updateAsciiStream(final String columnLabel, final InputStream x, final long length) throws SQLException {","protected final void updateAsciiStream(final String columnLabel, final InputStream x, final long length) throws SQLException { columnLabel = null;",153,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1093,NullifyInputVariable,"protected final void updateClob(final String columnLabel, final Clob x) throws SQLException {","protected final void updateClob(final String columnLabel, final Clob x) throws SQLException { columnLabel = null;",115,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,555,NullifyInputVariable,"public <T> T query(final Connection conn, final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException {","public <T> T query(final Connection conn, final String sql, final Object[] params, final ResultSetHandler<T> rsh) throws SQLException { conn = null;",80,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BasicRowProcessor.java,96,NullifyInputVariable,public Object get(final Object key) {,public Object get(final Object key) { key = null;,25,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,399,NullifyInputVariable,"public <T> Future<T> insertBatch(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object[][] params) throws SQLException {","public <T> Future<T> insertBatch(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object[][] params) throws SQLException { conn = null;",52,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/DbUtils.java,347,NullifyInputVariable,"public static void printWarnings(final Connection conn, final PrintWriter pw) {","public static void printWarnings(final Connection conn, final PrintWriter pw) { pw = null;",19,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,386,NullifyInputVariable,throws Throwable {,throws Throwable { proxy = null;,42,reduced_nullify_input_other_filter
org/apache/commons/dbutils/DbUtils.java,177,NullifyInputVariable,final ResultSet rs) {,final ResultSet rs) { conn = null;,34,reduced_nullify_final_param_non_compilable
